python_name,Type,ch4_40_low_p_no_coproduct_Y0,ch4_40_low_p_no_coproduct_Y1,ch4_40_low_p_no_coproduct_Y2,ch4_40_low_p_no_coproduct_Y3,ch4_40_low_p_no_coproduct_Y4,ch4_40_low_p_no_coproduct_Y5,ch4_40_low_p_no_coproduct_Y6,ch4_40_low_p_no_coproduct_Y7,ch4_40_low_p_no_coproduct_Y8,ch4_40_low_p_no_coproduct_Y9,ch4_40_low_p_no_coproduct_Y10,ch4_40_low_p_no_coproduct_Y11,ch4_40_low_p_no_coproduct_Y12,ch4_40_low_p_no_coproduct_Y13,ch4_40_low_p_no_coproduct_Y14,ch4_40_low_p_no_coproduct_Y15,ch4_40_low_p_no_coproduct_Y16,ch4_40_low_p_no_coproduct_Y17,ch4_40_low_p_no_coproduct_Y18,ch4_40_low_p_no_coproduct_Y19,ch4_40_low_p_no_coproduct_Y20,ch4_40_low_p_no_coproduct_Y21,ch4_40_low_p_no_coproduct_Y22,ch4_40_low_p_no_coproduct_Y23,ch4_40_low_p_no_coproduct_Y24,ch4_40_low_p_no_coproduct_Y25,ch4_40_low_p_no_coproduct_Y26,ch4_40_low_p_no_coproduct_Y27,ch4_40_low_p_no_coproduct_Y28,ch4_40_low_p_no_coproduct_Y29
gas_lifting,int,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gas_flooding,int,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
steam_flooding,int,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
country,str,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA
name,str,ch4_40_low_p_no_coproduct_Y1,ch4_40_low_p_no_coproduct_Y2,ch4_40_low_p_no_coproduct_Y3,ch4_40_low_p_no_coproduct_Y4,ch4_40_low_p_no_coproduct_Y5,ch4_40_low_p_no_coproduct_Y6,ch4_40_low_p_no_coproduct_Y7,ch4_40_low_p_no_coproduct_Y8,ch4_40_low_p_no_coproduct_Y9,ch4_40_low_p_no_coproduct_Y10,ch4_40_low_p_no_coproduct_Y11,ch4_40_low_p_no_coproduct_Y12,ch4_40_low_p_no_coproduct_Y13,ch4_40_low_p_no_coproduct_Y14,ch4_40_low_p_no_coproduct_Y15,ch4_40_low_p_no_coproduct_Y16,ch4_40_low_p_no_coproduct_Y17,ch4_40_low_p_no_coproduct_Y18,ch4_40_low_p_no_coproduct_Y19,ch4_40_low_p_no_coproduct_Y20,ch4_40_low_p_no_coproduct_Y21,ch4_40_low_p_no_coproduct_Y22,ch4_40_low_p_no_coproduct_Y23,ch4_40_low_p_no_coproduct_Y24,ch4_40_low_p_no_coproduct_Y25,ch4_40_low_p_no_coproduct_Y26,ch4_40_low_p_no_coproduct_Y27,ch4_40_low_p_no_coproduct_Y28,ch4_40_low_p_no_coproduct_Y29,ch4_40_low_p_no_coproduct_Y30
age,int,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
depth,float,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
oil_prod,float,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
num_prod_wells,int,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
num_water_inj_wells,int,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
res_press,float,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
offshore,int,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gas_comp_N2,float,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
gas_comp_CO2,float,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
gas_comp_C1,float,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
gas_comp_C2,float,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gas_comp_C3,float,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gas_comp_C4,float,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gas_comp_H2S,float,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gas_comp_H2,float,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
GOR,float,114440297.8762243,102996268.08860187,92696641.27974169,83426977.15176752,75084279.43659076,67575851.4929317,60818266.343638524,54736439.70927468,49262795.73834721,44336516.16451249,39902864.54806124,35912578.09325512,32321320.28392961,29089188.25553665,26180269.429982983,23562242.48698469,21206018.238286216,19085416.4144576,17176874.773011833,15459187.295710655,13913268.566139588,12521941.709525632,11269747.538573068,10142772.784715762,9128495.506244184,8215645.955619766,7394081.36005779,6654673.22405201,5989205.90164681,5390285.311482129
WOR,float,44631.71617172747,40168.544554554726,36151.69009909926,32536.521089189333,29282.868980270396,26354.58208224336,23719.123874019024,21347.211486617125,19212.490337955413,17291.24130415987,15562.117173743882,14005.905456369495,12605.314910732548,11344.783419659294,10210.305077693363,9189.274569924028,8270.347112931624,7443.3124016384645,6698.981161474615,6029.083045327156,5426.1747407944395,4883.557266714996,4395.201540043497,3955.681386039147,3560.113247435232,3204.1019226917088,2883.691730422538,2595.322557380284,2335.7903016422556,2102.21127147803
fraction_elec_onsite,float,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
fraction_remaining_gas_inj,float,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
fraction_water_reinjected,float,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
frac_venting,float,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PsaPreCompressor.suction_pressure,float,64.7,64.7,64.7,64.7,64.7,64.7,64.7,64.7,64.7,64.7,64.7,64.7,64.7,64.7,64.7,64.7,64.7,64.7,64.7,64.7,64.7,64.7,64.7,64.7,64.7,64.7,64.7,64.7,64.7,64.7
PsaPreCompressor.discharge_pressure,float,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7
PsaPreCompressor.prime_mover_type,str,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor
PressureSwingAdsorption.flaring,int,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
slip_rate,float,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
PSA_waste_gas_P,float,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7
PSA_waste_gas_T,float,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
DownholePump.prime_mover_type,str,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor
Separation.prime_mover_type,str,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor
GasReinjectionCompressor.prime_mover_type,str,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor
GasDehydration.prime_mover_type,str,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine
AcidGasRemoval.prime_mover_type,str,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine
SourGasCompressor.prime_mover_type,str,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor
WaterInjection.prime_mover_type,str,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor
