analysis,field,node,CI
test-fields,Field 24,ExplorationAndDrilling,1.7200059866106014
test-fields,Field 24,ProductionExtraction,7.303709890555231
test-fields,Field 24,SurfaceProcessing,0.9339818434182976
test-fields,Field 24,TransportAndStorage,0.0
test-fields,Field 24,LiquifiedNaturalGas,0.0
test-fields,Field 24,After,0.0
test-fields,Field 24,CrudeOilDewatering,0.0
test-fields,Field 25,TOTAL,9.262626979998329
test-fields,Field 25,ExplorationAndDrilling,1.7200040439997095
test-fields,Field 25,ProductionExtraction,7.066771616968057
test-fields,Field 25,SurfaceProcessing,0.20130254449624202
test-fields,Field 25,TransportAndStorage,0.0
test-fields,Field 25,LiquifiedNaturalGas,0.0
test-fields,Field 25,After,0.0
test-fields,Field 25,CrudeOilDewatering,0.0
test-fields,Field 26,TOTAL,8.589809280492334
test-fields,Field 26,ExplorationAndDrilling,1.7200083999695994
test-fields,Field 26,ProductionExtraction,6.486928040544205
test-fields,Field 26,SurfaceProcessing,0.24109340563828455
test-fields,Field 26,TransportAndStorage,0.0
test-fields,Field 26,LiquifiedNaturalGas,0.0
test-fields,Field 26,After,0.0
test-fields,Field 26,CrudeOilDewatering,0.0
test-fields,Field 27,TOTAL,15.817100771803055
test-fields,Field 27,ExplorationAndDrilling,1.7200426246764158
test-fields,Field 27,ProductionExtraction,13.716911147428126
test-fields,Field 27,SurfaceProcessing,0.10477942384117553
test-fields,Field 27,TransportAndStorage,0.0
test-fields,Field 27,LiquifiedNaturalGas,0.0
test-fields,Field 27,After,0.0
test-fields,Field 27,CrudeOilDewatering,0.0
test-fields,Field 28,TOTAL,146.83980350102638
test-fields,Field 28,ExplorationAndDrilling,1.7200113566643707
test-fields,Field 28,ProductionExtraction,119.44632397684475
test-fields,Field 28,SurfaceProcessing,0.1333100780043911
test-fields,Field 28,TransportAndStorage,0.0
test-fields,Field 28,LiquifiedNaturalGas,0.0
test-fields,Field 28,After,0.0
test-fields,Field 28,CrudeOilDewatering,0.0
test-fields,Field 29,TOTAL,7.83313216748281
test-fields,Field 29,ExplorationAndDrilling,1.7200017401617307
test-fields,Field 29,ProductionExtraction,5.9531073806136705
test-fields,Field 29,SurfaceProcessing,0.15164549399620728
test-fields,Field 29,TransportAndStorage,0.0
test-fields,Field 29,LiquifiedNaturalGas,0.0
test-fields,Field 29,After,0.0
test-fields,Field 29,CrudeOilDewatering,0.0
test-fields,Field 30,TOTAL,7.87493447464822
test-fields,Field 30,ExplorationAndDrilling,1.7200341129991912
test-fields,Field 30,ProductionExtraction,5.563097321754353
test-fields,Field 30,SurfaceProcessing,0.337307716439668
test-fields,Field 30,TransportAndStorage,0.0
test-fields,Field 30,LiquifiedNaturalGas,0.0
test-fields,Field 30,After,0.0
test-fields,Field 30,CrudeOilDewatering,0.0
test-fields,Field 31,TOTAL,13.099590577289183
test-fields,Field 31,ExplorationAndDrilling,1.720008805225606
test-fields,Field 31,ProductionExtraction,9.327118533376813
test-fields,Field 31,SurfaceProcessing,1.472602946924302
test-fields,Field 31,TransportAndStorage,0.0
test-fields,Field 31,LiquifiedNaturalGas,0.0
test-fields,Field 31,After,0.0
test-fields,Field 31,CrudeOilDewatering,0.0
test-fields,Field 32,TOTAL,8.436077644822388
test-fields,Field 32,ExplorationAndDrilling,1.7200049897194127
test-fields,Field 32,ProductionExtraction,6.5246398883410235
test-fields,Field 32,SurfaceProcessing,0.05242401867949696
test-fields,Field 32,TransportAndStorage,0.0
test-fields,Field 32,LiquifiedNaturalGas,0.0
test-fields,Field 32,After,0.0
test-fields,Field 32,CrudeOilDewatering,0.0
test-fields,Field 33,TOTAL,12.633324055511274
test-fields,Field 33,ExplorationAndDrilling,1.7200891162349794
test-fields,Field 33,ProductionExtraction,9.337769012830845
test-fields,Field 33,SurfaceProcessing,0.9208396439445052
test-fields,Field 33,TransportAndStorage,0.0
test-fields,Field 33,LiquifiedNaturalGas,0.0
test-fields,Field 33,After,0.0
test-fields,Field 33,CrudeOilDewatering,0.0
test-fields,Field 34,TOTAL,13.025227222922272
test-fields,Field 34,ExplorationAndDrilling,1.7200318925895832
test-fields,Field 34,ProductionExtraction,9.483098314206165
test-fields,Field 34,SurfaceProcessing,1.0203161126215436
test-fields,Field 34,TransportAndStorage,0.0
test-fields,Field 34,LiquifiedNaturalGas,0.0
test-fields,Field 34,After,0.0
test-fields,Field 34,CrudeOilDewatering,0.0
test-fields,Field 35,TOTAL,9.027626866359787
test-fields,Field 35,ExplorationAndDrilling,1.72004082729191
test-fields,Field 35,ProductionExtraction,6.767453815112503
test-fields,Field 35,SurfaceProcessing,0.320461715125214
test-fields,Field 35,TransportAndStorage,0.0
test-fields,Field 35,LiquifiedNaturalGas,0.0
test-fields,Field 35,After,0.0
test-fields,Field 35,CrudeOilDewatering,0.0
test-fields,Field 36,TOTAL,49.36448383319512
test-fields,Field 36,ExplorationAndDrilling,1.7225129511482544
test-fields,Field 36,ProductionExtraction,39.653784687604585
test-fields,Field 36,SurfaceProcessing,7.728559477002438
test-fields,Field 36,TransportAndStorage,0.0
test-fields,Field 36,LiquifiedNaturalGas,0.0
test-fields,Field 36,After,0.0
test-fields,Field 36,CrudeOilDewatering,0.0
test-fields,Field 37,TOTAL,28.328002986287935
