analysis,field,node,CI
test-fields,Field 35,DistributionBoundary,0.0
test-fields,Field 36,ExplorationAndDrilling,1.2608890175604102
test-fields,Field 36,ProductionExtraction,35.639930722950844
test-fields,Field 36,SurfaceProcessing,0.0
test-fields,Field 36,TransportAndStorage,0.0
test-fields,Field 36,LiquifiedNaturalGas,0.0
test-fields,Field 36,After,0.0
test-fields,Field 36,ProductionBoundary,0.0
test-fields,Field 36,TransportationBoundary,0.0
test-fields,Field 36,DistributionBoundary,0.0
test-fields,Field 37,ExplorationAndDrilling,1.2544610032577235
test-fields,Field 37,ProductionExtraction,22.248165235413822
test-fields,Field 37,SurfaceProcessing,0.0
test-fields,Field 37,TransportAndStorage,0.0
test-fields,Field 37,LiquifiedNaturalGas,0.0
test-fields,Field 37,After,0.0
test-fields,Field 37,ProductionBoundary,0.0
test-fields,Field 37,TransportationBoundary,0.0
test-fields,Field 37,DistributionBoundary,0.0
test-fields,Field 38,ExplorationAndDrilling,1.25461657335298
test-fields,Field 38,ProductionExtraction,47.12188558224821
test-fields,Field 38,SurfaceProcessing,0.0
test-fields,Field 38,TransportAndStorage,0.0
test-fields,Field 38,LiquifiedNaturalGas,0.0
test-fields,Field 38,After,0.0
test-fields,Field 38,ProductionBoundary,0.0
test-fields,Field 38,TransportationBoundary,0.0
test-fields,Field 38,DistributionBoundary,0.0
test-fields,Field 39,ExplorationAndDrilling,1.2787614618946204
test-fields,Field 39,ProductionExtraction,19.475103481049572
test-fields,Field 39,SurfaceProcessing,0.0
test-fields,Field 39,TransportAndStorage,0.0
test-fields,Field 39,LiquifiedNaturalGas,0.0
test-fields,Field 39,After,0.0
test-fields,Field 39,ProductionBoundary,0.0
test-fields,Field 39,TransportationBoundary,0.0
test-fields,Field 39,DistributionBoundary,0.0
test-fields,Field 40,ExplorationAndDrilling,1.2479288343058952
test-fields,Field 40,ProductionExtraction,2.7841158686811855
test-fields,Field 40,SurfaceProcessing,0.0
test-fields,Field 40,TransportAndStorage,0.0
test-fields,Field 40,LiquifiedNaturalGas,0.0
test-fields,Field 40,After,0.0
test-fields,Field 40,ProductionBoundary,0.0
test-fields,Field 40,TransportationBoundary,0.0
test-fields,Field 40,DistributionBoundary,0.0
test-fields,Field 41,ExplorationAndDrilling,1.2600916945180292
test-fields,Field 41,ProductionExtraction,6.267654703620064
test-fields,Field 41,SurfaceProcessing,0.0
test-fields,Field 41,TransportAndStorage,0.0
test-fields,Field 41,LiquifiedNaturalGas,0.0
test-fields,Field 41,After,0.0
test-fields,Field 41,ProductionBoundary,0.0
test-fields,Field 41,TransportationBoundary,0.0
test-fields,Field 41,DistributionBoundary,0.0
test-fields,Field 42,ExplorationAndDrilling,1.2478346833248213
test-fields,Field 42,ProductionExtraction,6.641389306357026
test-fields,Field 42,SurfaceProcessing,0.0
test-fields,Field 42,TransportAndStorage,0.0
test-fields,Field 42,LiquifiedNaturalGas,0.0
test-fields,Field 42,After,0.0
test-fields,Field 42,ProductionBoundary,0.0
test-fields,Field 42,TransportationBoundary,0.0
test-fields,Field 42,DistributionBoundary,0.0
test-fields,Field 43,ExplorationAndDrilling,1.2550916709370132
test-fields,Field 43,ProductionExtraction,7.418688745533686
test-fields,Field 43,SurfaceProcessing,0.0
test-fields,Field 43,TransportAndStorage,0.0
test-fields,Field 43,LiquifiedNaturalGas,0.0
test-fields,Field 43,After,0.0
test-fields,Field 43,ProductionBoundary,0.0
test-fields,Field 43,TransportationBoundary,0.0
test-fields,Field 43,DistributionBoundary,0.0
test-fields,Field 44,ExplorationAndDrilling,1.2447941888632459
test-fields,Field 44,ProductionExtraction,8.669353637098554
test-fields,Field 44,SurfaceProcessing,0.0
test-fields,Field 44,TransportAndStorage,0.0
test-fields,Field 44,LiquifiedNaturalGas,0.0
test-fields,Field 44,After,0.0
test-fields,Field 44,ProductionBoundary,0.0
test-fields,Field 44,TransportationBoundary,0.0
test-fields,Field 44,DistributionBoundary,0.0
test-fields,Field 45,ExplorationAndDrilling,1.2520601462834369
test-fields,Field 45,ProductionExtraction,6.754258049731407
test-fields,Field 45,SurfaceProcessing,0.0
test-fields,Field 45,TransportAndStorage,0.0
test-fields,Field 45,LiquifiedNaturalGas,0.0
test-fields,Field 45,After,0.0
test-fields,Field 45,ProductionBoundary,0.0
test-fields,Field 45,TransportationBoundary,0.0
test-fields,Field 45,DistributionBoundary,0.0
test-fields,Field 46,ExplorationAndDrilling,1.2624347399787084
test-fields,Field 46,ProductionExtraction,-11.586600167636742
test-fields,Field 46,SurfaceProcessing,0.0
test-fields,Field 46,TransportAndStorage,0.0
test-fields,Field 46,LiquifiedNaturalGas,0.0
test-fields,Field 46,After,0.0
test-fields,Field 46,ProductionBoundary,0.0
test-fields,Field 46,TransportationBoundary,0.0
test-fields,Field 46,DistributionBoundary,0.0
test-fields,Field 47,ExplorationAndDrilling,1.2549996917298782
test-fields,Field 47,ProductionExtraction,2.425837421061762
test-fields,Field 47,SurfaceProcessing,0.0
test-fields,Field 47,TransportAndStorage,0.0
test-fields,Field 47,LiquifiedNaturalGas,0.0
test-fields,Field 47,After,0.0
test-fields,Field 47,ProductionBoundary,0.0
test-fields,Field 47,TransportationBoundary,0.0
test-fields,Field 47,DistributionBoundary,0.0
test-fields,Field 48,ExplorationAndDrilling,1.2746876582630795
test-fields,Field 48,ProductionExtraction,1.5994142747765532
test-fields,Field 48,SurfaceProcessing,0.0
test-fields,Field 48,TransportAndStorage,0.0
test-fields,Field 48,LiquifiedNaturalGas,0.0
test-fields,Field 48,After,0.0
test-fields,Field 48,ProductionBoundary,0.0
test-fields,Field 48,TransportationBoundary,0.0
test-fields,Field 48,DistributionBoundary,0.0
test-fields,Field 49,ExplorationAndDrilling,1.2572321337197727
test-fields,Field 49,ProductionExtraction,4.330882007534198
test-fields,Field 49,SurfaceProcessing,0.0
test-fields,Field 49,TransportAndStorage,0.0
test-fields,Field 49,LiquifiedNaturalGas,0.0
test-fields,Field 49,After,0.0
test-fields,Field 49,ProductionBoundary,0.0
test-fields,Field 49,TransportationBoundary,0.0
test-fields,Field 49,DistributionBoundary,0.0
test-fields,Field 50,ExplorationAndDrilling,1.2619045828544366
test-fields,Field 50,ProductionExtraction,5.652561500185629
test-fields,Field 50,SurfaceProcessing,0.0
test-fields,Field 50,TransportAndStorage,0.0
test-fields,Field 50,LiquifiedNaturalGas,0.0
test-fields,Field 50,After,0.0
test-fields,Field 50,ProductionBoundary,0.0
test-fields,Field 50,TransportationBoundary,0.0
test-fields,Field 50,DistributionBoundary,0.0
test-fields,Field 51,ExplorationAndDrilling,1.2624064816504215
test-fields,Field 51,ProductionExtraction,4.077760802910863
test-fields,Field 51,SurfaceProcessing,0.0
test-fields,Field 51,TransportAndStorage,0.0
test-fields,Field 51,LiquifiedNaturalGas,0.0
test-fields,Field 51,After,0.0
test-fields,Field 51,ProductionBoundary,0.0
test-fields,Field 51,TransportationBoundary,0.0
test-fields,Field 51,DistributionBoundary,0.0
test-fields,Field 52,ExplorationAndDrilling,1.244801358689668
test-fields,Field 52,ProductionExtraction,5.6646014131886515
test-fields,Field 52,SurfaceProcessing,0.0
test-fields,Field 52,TransportAndStorage,0.0
test-fields,Field 52,LiquifiedNaturalGas,0.0
test-fields,Field 52,After,0.0
test-fields,Field 52,ProductionBoundary,0.0
test-fields,Field 52,TransportationBoundary,0.0
test-fields,Field 52,DistributionBoundary,0.0
test-fields,Field 53,ExplorationAndDrilling,1.2596697265123038
test-fields,Field 53,ProductionExtraction,27.877178535085246
test-fields,Field 53,SurfaceProcessing,0.0
test-fields,Field 53,TransportAndStorage,0.0
test-fields,Field 53,LiquifiedNaturalGas,0.0
test-fields,Field 53,After,0.0
test-fields,Field 53,ProductionBoundary,0.0
test-fields,Field 53,TransportationBoundary,0.0
test-fields,Field 53,DistributionBoundary,0.0
test-fields,Field 54,ExplorationAndDrilling,1.2550714784618826
test-fields,Field 54,ProductionExtraction,3.4349263012373483
test-fields,Field 54,SurfaceProcessing,0.0
test-fields,Field 54,TransportAndStorage,0.0
test-fields,Field 54,LiquifiedNaturalGas,0.0
test-fields,Field 54,After,0.0
test-fields,Field 54,ProductionBoundary,0.0
test-fields,Field 54,TransportationBoundary,0.0
test-fields,Field 54,DistributionBoundary,0.0
test-fields,Field 55,ExplorationAndDrilling,1.2550714784618826
test-fields,Field 55,ProductionExtraction,3.5759550615381093
test-fields,Field 55,SurfaceProcessing,0.0
test-fields,Field 55,TransportAndStorage,0.0
test-fields,Field 55,LiquifiedNaturalGas,0.0
test-fields,Field 55,After,0.0
test-fields,Field 55,ProductionBoundary,0.0
test-fields,Field 55,TransportationBoundary,0.0
test-fields,Field 55,DistributionBoundary,0.0
test-fields,Field 56,ExplorationAndDrilling,1.2712228235283012
test-fields,Field 56,ProductionExtraction,10.012017543546266
test-fields,Field 56,SurfaceProcessing,0.0
test-fields,Field 56,TransportAndStorage,0.0
test-fields,Field 56,LiquifiedNaturalGas,0.0
test-fields,Field 56,After,0.0
test-fields,Field 56,ProductionBoundary,0.0
